"type","cov.DI.P..mg.kg.","cov.CaEDTA.P..mg.kg.","cov.NaEDTA.P..mg.kg.","cov.H2SO4.P..mg.kg.","cov.TCA.P..mg.kg.","cov.NaOH.P..mg.kg.","cov.Enzyme.P..mg.kg.","cov.Richness","cov.Wet","cov.Normal","cov.Tower"
"cor.bollen",4.44089209850063e-16,0.272652302041754,0.292269455539039,0.401207185380964,0.0210908524322724,0.429231375695652,0.304484831460232,-0.00854355775243831,-0.17021091013237,-0.24280965556091,0.438627347519461
"cor.bollen",0.272652302041754,1.11022302462516e-16,0.114136382228951,-0.0458453314945403,0.703100630662014,-0.0380216644508636,0.556101370455925,0.196496770582789,0.0107151210508874,-0.00771212497811087,-0.00289092631181472
"cor.bollen",0.292269455539039,0.114136382228951,4.44089209850063e-16,0.101639232679404,-0.351333604562245,0.118172601629345,0.280155176793622,-0.11427406218497,0.269308531572282,-0.154846017672084,-0.114568551538268
"cor.bollen",0.401207185380964,-0.0458453314945403,0.101639232679404,0,0.0191478736066975,0.651980811989151,-0.129743400287944,0.0913534777944142,-0.496905746372813,0.16397467380028,0.342252868157139
"cor.bollen",0.0210908524322724,0.703100630662014,-0.351333604562245,0.0191478736066975,0,-0.0230932128260852,0.328646888753516,-0.0798883679584046,-0.0812982815809834,0.00726101527559562,0.0770292690100411
"cor.bollen",0.429231375695652,-0.0380216644508636,0.118172601629345,0.651980811989151,-0.0230932128260852,-1.11022302462516e-16,-0.0572066436209942,0.00618331259839554,-0.312544835020649,-0.0858953920080899,0.418474803958608
"cor.bollen",0.304484831460232,0.556101370455925,0.280155176793622,-0.129743400287944,0.328646888753516,-0.0572066436209942,0,0.0520577426461345,0.0405884750563565,-0.0621038825722009,0.0244056594420551
"cor.bollen",-0.00854355775243831,0.196496770582789,-0.11427406218497,0.0913534777944142,-0.0798883679584046,0.00618331259839554,0.0520577426461345,1.11022302462516e-16,-0.086240033944084,0.106954560432491,-0.0249813612772934
"cor.bollen",-0.17021091013237,0.0107151210508874,0.269308531572282,-0.496905746372813,-0.0812982815809834,-0.312544835020649,0.0405884750563565,-0.086240033944084,0,0,0
"cor.bollen",-0.24280965556091,-0.00771212497811087,-0.154846017672084,0.16397467380028,0.00726101527559562,-0.0858953920080899,-0.0621038825722009,0.106954560432491,0,0,0
"cor.bollen",0.438627347519461,-0.00289092631181472,-0.114568551538268,0.342252868157139,0.0770292690100411,0.418474803958608,0.0244056594420551,-0.0249813612772934,0,0,0
