"type","cov.TP..mg.P.kg.","cov.NO3..mg.L.","cov.NH4..mg.L.","cov.TN..mg.L.","cov.H2O..mg.gsoil.","cov.pH","cov.Normalized.polyP..FACS","cov.Normalized.PHAAO..FACS","cov.Normalized.PAO..FACS","cov.Normalized.PAO..Raman","cov.Richness","cov.AP.Activity..nmol.MUB..g.dry.soil...hour.","cov.warmed","cov.clipped"
"cor.bollen",-4.44089209850063e-16,0.437416388825762,-0.0424637138540071,0.165386201496581,-0.267501872046324,0.0756781645649537,-0.016932588014526,-0.054320186048427,-0.0309242970720693,-0.0310635091924189,-0.235330880608736,-0.148700131519009,4.88541329612957e-08,-3.28434951263334e-07
"cor.bollen",0.437416388825762,3.33066907387547e-16,-0.0432632400881882,0.356482770965937,-0.313279460715756,0.0572042264745163,0.17778276240637,-0.19968271590858,0.0645499581631697,-0.17848732849822,0.159476119608847,-0.172818958257432,3.37634679103971e-07,1.32158751581235e-07
"cor.bollen",-0.0424637138540071,-0.0432632400881882,0,0.65642492116834,0.356809885316867,-0.0242390493251914,-0.402386921122847,0.203830247429592,-0.3305125649009,0.149966220339577,0.100195493603547,-0.934890778059727,1.74789319462576e-07,3.92374300800524e-07
"cor.bollen",0.165386201496581,0.356482770965937,0.65642492116834,0,-0.0584355920810157,0.0622798800162251,-0.21265991752414,0.0357631440880895,-0.257478317690263,-0.148238264157825,-0.41554698151157,0.333713233690276,3.26549144058497e-07,7.74235219876823e-08
"cor.bollen",-0.267501872046324,-0.313279460715756,0.356809885316867,-0.0584355920810157,2.22044604925031e-16,-0.238018988396627,-0.160969516709158,-0.10888400298408,-0.193549293613336,0.226811357516565,0.175114248352232,-0.227320163033194,-3.82310151342269e-07,-6.73539939433088e-07
"cor.bollen",0.0756781645649537,0.0572042264745163,-0.0242390493251914,0.0622798800162251,-0.238018988396627,0,0.0114881589034714,-0.0234952452685861,-0.0142769499596521,-0.0082951889787688,-0.0581456795345752,0.0930262437139677,1.44090771536654e-08,-7.41270517190529e-09
"cor.bollen",-0.016932588014526,0.17778276240637,-0.402386921122847,-0.21265991752414,-0.160969516709158,0.0114881589034714,2.22044604925031e-16,-0.0419257182727742,0.00354823568278528,0.00459552357749038,-0.2348689042501,-0.150472565981454,-0.0321861487873449,-0.184249759453458
"cor.bollen",-0.054320186048427,-0.19968271590858,0.203830247429592,0.0357631440880895,-0.10888400298408,-0.0234952452685861,-0.0419257182727742,-2.22044604925031e-16,-0.0533214404485996,0.0400184639595259,0.270111058948183,-0.486105654469055,0.000992218227197278,0.00716787208660721
"cor.bollen",-0.0309242970720695,0.0645499581631697,-0.3305125649009,-0.257478317690263,-0.193549293613336,-0.0142769499596521,0.00354823568278539,-0.0533214404485996,1.11022302462516e-16,0.0232577737889796,-0.217741621609711,-0.199843257114207,-0.0288943390204215,-0.118194691590018
"cor.bollen",-0.0310635091924189,-0.17848732849822,0.149966220339577,-0.148238264157825,0.226811357516565,-0.00829518897876869,0.00459552357749043,0.0400184639595259,0.0232577737889795,2.22044604925031e-16,0.151952283906127,0.190140408217993,0.176835269827904,0.489538822874045
"cor.bollen",-0.235330880608736,0.159476119608847,0.100195493603547,-0.41554698151157,0.175114248352232,-0.0581456795345753,-0.2348689042501,0.270111058948183,-0.217741621609711,0.151952283906127,-1.11022302462516e-16,0.423368681293688,0.203178806849899,0.0347664639269115
"cor.bollen",-0.148700131519009,-0.172818958257432,-0.934890778059727,0.333713233690276,-0.227320163033194,0.0930262437139677,-0.150472565981454,-0.486105654469055,-0.199843257114207,0.190140408217993,0.423368681293688,1.11022302462516e-16,0.00878744086031927,0.187315552179441
"cor.bollen",4.88541329612957e-08,3.37634679103971e-07,1.74789319462576e-07,3.26549144058497e-07,-3.82310151342269e-07,1.44090771536654e-08,-0.0321861487873449,0.000992218227197278,-0.0288943390204215,0.176835269827904,0.203178806849899,0.00878744086031927,0,0
"cor.bollen",-3.28434951263334e-07,1.32158751581235e-07,3.92374300800524e-07,7.74235219876823e-08,-6.73539939433088e-07,-7.41270517190529e-09,-0.184249759453458,0.00716787208660721,-0.118194691590018,0.489538822874045,0.0347664639269115,0.187315552179441,0,0
