"type","cov.TP..mg.P.kg.","cov.NO3..mg.L.","cov.NH4..mg.L.","cov.TN..mg.L.","cov.H2O..mg.gsoil.","cov.pH","cov.Richness","cov.AP.Activity..nmol.MUB..g.dry.soil...hour.","cov.warmed","cov.clipped"
"cor.bollen",0,0.444722246897024,-0.0479021351653607,0.161334703354741,-0.277020777572171,0.0754056937779911,0.32359128380275,0.078673648243923,3.33066907387547e-16,-2.77555756156289e-17
"cor.bollen",0.444722246897024,0,-0.0422651370579299,0.358696222210529,-0.29925627551155,0.049708698859794,0.0907800456071579,-0.30468021391572,0,0
"cor.bollen",-0.0479021351653607,-0.04226513705793,0,0.66072824475137,0.334515250468827,0.00412341242703995,-0.559507969447795,-0.721744843756096,0,0
"cor.bollen",0.161334703354741,0.358696222210529,0.66072824475137,0,-0.0703965215231615,0.0744765513353388,0.512777081205274,0.225831590766144,0,-1.38777878078145e-17
"cor.bollen",-0.277020777572171,-0.29925627551155,0.334515250468827,-0.0703965215231615,0,-0.263005117396323,-0.0868394861338046,-0.153547301444448,0,0
"cor.bollen",0.0754056937779912,0.049708698859794,0.00412341242703995,0.0744765513353389,-0.263005117396323,0,0.0311915079219369,0.0565992442658979,0,-2.77555756156289e-17
"cor.bollen",0.32359128380275,0.0907800456071579,-0.559507969447795,0.512777081205274,-0.0868394861338046,0.0311915079219369,1.11022302462516e-16,-0.516370425881392,0.0918201317366552,-0.00434537450049887
"cor.bollen",0.078673648243923,-0.30468021391572,-0.721744843756096,0.225831590766144,-0.153547301444448,0.0565992442658979,-0.516370425881392,2.22044604925031e-16,0.0225965811330591,0.119332326310002
"cor.bollen",3.33066907387547e-16,0,0,0,0,0,0.0918201317366552,0.0225965811330591,0,0
"cor.bollen",-2.77555756156289e-17,0,0,-1.38777878078145e-17,0,-2.77555756156289e-17,-0.00434537450049887,0.119332326310002,0,0
